#1
double	default(35137,7)
0	0.9277165	0.8973041	0.8748644	0.5395666	1.003586	0.3170163
900	0.9277165	0.8973041	0.8759467	0.5367039	1.003586	0.3170163
1800	0.9277165	0.8973041	0.8779458	0.5314165	1.003586	0.3170163
2700	0.9277165	0.8973041	0.8827207	0.5187872	1.003586	0.3170163
3600	0.9277165	0.8973041	0.8805434	0.5245461	1.003586	0.3170163
4500	0.9277165	0.8973041	0.8801741	0.5255227	1.003586	0.3170163
5400	0.9277165	0.8973041	0.8818676	0.5210436	1.003586	0.3170163
6300	0.9277165	0.8973041	0.8820204	0.5206394	1.003586	0.3170163
7200	0.9277165	0.8973041	0.8844324	0.5142599	1.003586	0.3170163
8100	0.9277165	0.8973041	0.886425	0.5089895	1.003586	0.3170163
9000	0.9277165	0.8973041	0.8892137	0.5016136	1.003586	0.3170163
9900	0.9277165	0.8973041	0.8965814	0.4821264	1.003586	0.3170163
10800	0.9277165	0.8973041	0.8961201	0.4833466	1.003586	0.3170163
11700	0.9277165	0.8973041	0.8959696	0.4837445	1.003586	0.3170163
12600	0.9277165	0.8973041	0.8961501	0.483267	1.003586	0.3170163
13500	0.9277165	0.8973041	0.8989478	0.4758673	1.003586	0.3170163
14400	0.9285475	0.8910023	0.9035202	0.4637735	1.003586	0.3170163
15300	0.9307135	0.874578	0.9080926	0.4516798	1.003586	0.3170163
16200	0.9337553	0.8515118	0.9144185	0.4349481	1.003586	0.3170163
17100	0.9348591	0.8431415	0.916294	0.4299875	1.003586	0.3170163
18000	0.9357193	0.8366186	0.9177679	0.426089	1.003586	0.3170163
18900	0.9371225	0.8259786	0.9202173	0.4196106	1.003586	0.3170163
19800	0.938491	0.8156012	0.9226062	0.4132921	1.003586	0.3170163
20700	0.9403358	0.8016125	0.9256864	0.4051451	1.003586	0.3170163
21600	0.9424825	0.7853335	0.9289391	0.3965419	1.003586	0.3170163
22500	0.9447218	0.7683528	0.9324186	0.3873388	1.003586	0.3170163
23400	0.9470558	0.7506539	0.936134	0.3775118	1.003586	0.3170163
24300	0.9476958	0.7458007	0.9371772	0.3747525	1.003586	0.3170163
25200	0.9489711	0.736131	0.9392558	0.3692546	1.003586	0.3170163
