#1
double	default(366,2)
0	0.4543049
86400	0.4573871
172800	0.4837959
259200	0.4748459
345600	0.4687813
432000	0.4775114
518400	0.4743538
604800	0.4460444
691200	0.4430424
777600	0.4872283
864000	0.504876
950400	0.529808
1036800	0.5456194
1123200	0.5547607
1209600	0.5853488
1296000	0.5455779
1382400	0.5728794
1468800	0.5597157
1555200	0.5442589
1641600	0.5848533
1728000	0.5875193
1814400	0.6588146
1900800	0.6782739
1987200	0.6942981
2073600	0.7167242
2160000	0.8023014
2246400	1.016807
2332800	1.623479
2419200	1.693772
2505600	2.447388
2592000	2.423495
2678400	2.893312
2764800	2.971836
2851200	3.012756
2937600	2.927502
3024000	2.167622
3110400	1.633031
3196800	1.723101
3283200	1.344208
3369600	1.193265
3456000	0.8055823
3542400	0.7040723
3628800	0.6371931
3715200	0.6471031
3801600	0.5795936
3888000	0.5455118
3974400	0.5714067
4060800	0.5877689
4147200	0.5675542
4233600	0.5232069
4320000	0.4673934
4406400	0.4341111
4492800	0.4697802
4579200	0.4899195
4665600	0.521676
4752000	0.4586307
4838400	0.4433898
4924800	0.4342319
5011200	0.4686627
5097600	0.4729851
5184000	0.479252
5270400	0.4971756
5356800	0.5284928
5443200	0.5431385
5529600	0.5123812
5616000	0.4889632
5702400	0.4465929
5788800	0.4427594
5875200	0.4401411
5961600	0.4261329
6048000	0.425999
6134400	0.4340448
6220800	0.4211347
6307200	0.4311325
6393600	0.4180748
6480000	0.4360314
6566400	0.4139833
6652800	0.3761041
6739200	0.3848304
6825600	0.3621986
6912000	0.3738816
6998400	0.3777284
7084800	0.4142505
7171200	0.3735042
7257600	0.3534483
7344000	0.3874312
7430400	0.3970844
7516800	0.4351501
7603200	0.4663479
7689600	0.4749066
7776000	0.5300748
7862400	0.5322735
7948800	0.523857
8035200	0.5369661
8121600	0.5492117
8208000	0.5503719
8294400	0.5099883
8380800	0.4308543
8467200	0.4201938
8553600	0.4318096
8640000	0.4311653
8726400	0.4216718
8812800	0.4209181
8899200	0.4556823
8985600	0.4561647
9072000	0.4240168
9158400	0.378126
9244800	0.3704363
9331200	0.3826528
9417600	0.4163934
9504000	0.4025895
9590400	0.3961549
9676800	0.3661443
9763200	0.3206224
9849600	0.2925841
9936000	0.2969811
1.00224e+07	0.2819862
1.01088e+07	0.2524963
1.01952e+07	0.2580915
1.02816e+07	0.2640259
1.0368e+07	0.2586551
1.04544e+07	0.2681929
1.05408e+07	0.3110305
1.06272e+07	0.3517541
1.07136e+07	0.3946419
1.08e+07	0.3191143
1.08864e+07	0.2607199
1.09728e+07	0.2271402
1.10592e+07	0.2137116
1.11456e+07	0.2982371
1.1232e+07	0.3164938
1.13184e+07	0.3138809
1.14048e+07	0.3378076
1.14912e+07	0.3668009
1.15776e+07	0.3799313
1.1664e+07	0.3195852
1.17504e+07	0.2627787
1.18368e+07	0.2127387
1.19232e+07	0.186624
1.20096e+07	0.1870307
1.2096e+07	0.1857196
1.21824e+07	0.1848763
1.22688e+07	0.184531
1.23552e+07	0.1842952
1.24416e+07	0.1840872
1.2528e+07	0.1847453
1.26144e+07	0.1952611
1.27008e+07	0.2258514
1.27872e+07	0.2383713
1.28736e+07	0.2708958
1.296e+07	0.3008572
1.30464e+07	0.3166365
1.31328e+07	0.319752
1.32192e+07	0.3224415
1.33056e+07	0.3321629
1.3392e+07	0.2630505
1.34784e+07	0.2318793
1.35648e+07	0.2469334
1.36512e+07	0.2411341
1.37376e+07	0.2327081
1.3824e+07	0.2357041
1.39104e+07	0.2508781
1.39968e+07	0.2545753
1.40832e+07	0.2312499
1.41696e+07	0.2160165
1.4256e+07	0.2099875
1.43424e+07	0.201441
1.44288e+07	0.2067157
1.45152e+07	0.1938529
1.46016e+07	0.18658
1.4688e+07	0.1868101
1.47744e+07	0.1891918
1.48608e+07	0.2176241
1.49472e+07	0.2262615
1.50336e+07	0.2382589
1.512e+07	0.2455925
1.52064e+07	0.1967836
1.52928e+07	0.1877739
1.53792e+07	0.228824
1.54656e+07	0.1865243
1.5552e+07	0.1867707
1.56384e+07	0.1846679
1.57248e+07	0.1874062
1.58112e+07	0.1882774
1.58976e+07	0.2415996
1.5984e+07	0.1881137
1.60704e+07	0.1886868
1.61568e+07	0.1851063
1.62432e+07	0.1855975
1.63296e+07	0.1873377
1.6416e+07	0.2047309
1.65024e+07	0.2129939
1.65888e+07	0.209484
1.66752e+07	0.2167417
1.67616e+07	0.2209071
1.6848e+07	0.2082972
1.69344e+07	0.2060184
1.70208e+07	0.2185629
1.71072e+07	0.2243687
1.71936e+07	0.2246018
1.728e+07	0.2163138
1.73664e+07	0.1883159
1.74528e+07	0.1884635
1.75392e+07	0
1.76256e+07	0
1.7712e+07	0
1.77984e+07	0
1.78848e+07	0.1869647
1.79712e+07	0.1914436
1.80576e+07	0.1998406
1.8144e+07	0.1845705
1.82304e+07	0.292209
1.83168e+07	0.1863648
1.84032e+07	0.1849246
1.84896e+07	0.1857813
1.8576e+07	0.1849527
1.86624e+07	0.1869747
1.87488e+07	0.1876557
1.88352e+07	0.193848
1.89216e+07	0.1999548
1.9008e+07	0.1927555
1.90944e+07	0.1926792
1.91808e+07	0.1888154
1.92672e+07	0.1854773
1.93536e+07	0.1843554
1.944e+07	0.1863584
1.95264e+07	0.187599
1.96128e+07	0
1.96992e+07	0
1.97856e+07	0
1.9872e+07	0
1.99584e+07	0
2.00448e+07	0.1887331
2.01312e+07	0.1880038
2.02176e+07	0.1862134
2.0304e+07	0.1903216
2.03904e+07	0.1907544
2.04768e+07	0.1884014
2.05632e+07	0.1845346
2.06496e+07	0.1850987
2.0736e+07	0.1974571
2.08224e+07	0.2175261
2.09088e+07	0.2163969
2.09952e+07	0.2045784
2.10816e+07	0.1972575
2.1168e+07	0.2012603
2.12544e+07	0.2136654
2.13408e+07	0.2102284
2.14272e+07	0.199632
2.15136e+07	0.1858484
2.16e+07	0.1880216
2.16864e+07	0.1871991
2.17728e+07	0.2242448
2.18592e+07	0.257076
2.19456e+07	0.2603421
2.2032e+07	0.2465814
2.21184e+07	0.2345065
2.22048e+07	0.2315544
2.22912e+07	0.2370078
2.23776e+07	0.2811078
2.2464e+07	0.3035142
